mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
2,meat <50_female_50-59,5.07343034,7.66739727,17268.27022,26.40594632,0.99879511,0.35055442,283.6212447,847.3433802,26.7373586,1.379311336,2.249129428,5103.241658,7.724648428,0.349230387,0.143440852,142.4668805,409.4609194,7.803538089,1698,female,meat50,50-59
2,meat <50_female_60-69,5.186166976,7.929697738,17789.17496,26.95661601,1.039807603,0.358884087,289.8160232,848.1326209,27.48265424,1.402752399,2.300772322,5236.391015,7.78554009,0.345069375,0.160105823,140.1815523,395.9257753,7.824418525,1047,female,meat50,60-69
2,meat <50_female_70-79,5.074112164,7.752370733,18588.44947,26.41293128,1.024674578,0.352497555,280.672507,842.3813509,26.82989225,1.46257641,2.385715309,5589.556105,8.203423252,0.359284334,0.143052431,123.5360008,389.5524375,8.220086791,381,female,meat50,70-79
2,meat <50_male_20-29,5.02347507,8.104087029,15299.58114,26.55531131,0.95233832,0.351956308,261.4065497,805.7303323,25.60101124,1.358147394,2.47986969,4641.360311,7.901221838,0.304359466,0.103933175,145.4366333,446.7265254,8.074448547,131,male,meat50,20-29
2,meat <50_male_30-39,5.194762053,8.023165798,16918.07815,27.67085245,0.960974964,0.364905016,269.6746308,875.3927365,26.84971484,1.601603486,2.599177932,6068.708321,10.17951135,0.373838289,0.148809641,137.7337774,541.3844006,8.842982634,370,male,meat50,30-39
2,meat <50_male_40-49,5.11783725,7.772082037,16566.00469,26.48157356,0.952847259,0.349532933,255.9070783,809.453833,26.48139964,1.352570884,2.471781188,5289.787998,7.696049326,0.345244691,0.137609671,129.5017068,393.3849823,7.764170868,448,male,meat50,40-49
2,meat <50_male_50-59,5.254956649,8.063507339,17018.06925,26.71020769,1.018118083,0.376582407,292.0588393,832.6655298,27.09219418,1.437660911,2.308496673,4537.37269,7.021351292,0.387187813,0.207339367,167.8424362,382.5572477,7.701479542,410,male,meat50,50-59
2,meat <50_male_60-69,5.163977553,8.030196556,17738.59598,26.96692206,1.021994265,0.376734611,289.8028498,863.3030637,26.64787358,1.480831873,2.3579898,5552.860141,8.779363191,0.345584371,0.181736974,155.2310087,522.1795081,7.802656386,364,male,meat50,60-69
2,meat <50_male_70-79,5.361578243,8.331732123,18695.90667,27.5968669,1.07435133,0.380325984,295.1811507,843.4946075,27.68366971,1.344905938,2.62514365,5660.889136,7.049341847,0.334623293,0.14012151,130.3743148,354.1908705,7.659359841,143,male,meat50,70-79
2,meat 100+_female_20-29,8.274415637,12.68647363,23401.55326,42.42655479,1.919352024,0.645655082,334.1181445,1118.797934,39.78894024,2.004555623,3.795110662,6771.709554,11.39846609,0.709871174,0.249332272,162.0157132,440.5875223,10.51564659,393,female,meat100,20-29
